file,revision_index,startxref_offset,eof_offset,size_bytes,is_incremental
samples/arrest_report_2024-001003.pdf,0,16083,16442,16442,false
samples/case_summary_2024-001002B.pdf,0,16097,16456,16456,false
samples/consolidated_case_file_2024-001001.pdf,0,279167,281869,281869,false
samples/evidence_log_2024-001004.pdf,0,16212,16571,16571,false
samples/incident_report_2024-001001.pdf,0,16139,16498,16498,false
samples/interview_transcript_2024-001002.pdf,0,16153,16512,16512,false
samples/property_receipt_2024-001004B.pdf,0,16220,16579,16579,false
samples/supplemental_report_2024-001001B.pdf,0,16131,16490,16490,false
samples/witness_statement_2024-001003B.pdf,0,16393,16752,16752,false
